radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,size,flag,x,y,cloud_id,status
LTE,216.0,30.0,12004.0,76035.0,0.0,19.046782,47.504822,50021.0,254.0,1.0,1429802352.0,1506169714.0,0.0,805.0,0.0,22169024.87651611,6111960.598698225,3.0,1.0
LTE,216.0,30.0,12006.0,135939.0,0.0,19.08612,47.519785,62683.0,1999.0,1.0,1429804402.0,1525583455.0,0.0,527.0,0.0,22173406.18372354,6110516.062915135,3.0,1.0
LTE,216.0,30.0,12006.0,135938.0,0.0,19.090985,47.51653,106356.0,1271.0,1.0,1429874711.0,1525583513.0,0.0,931.0,0.0,22173948.027730968,6110830.322379493,3.0,1.0
LTE,216.0,30.0,12006.0,169217.0,0.0,19.244619,47.468703,51065.0,525.0,1.0,1429898593.0,1647773538.0,0.0,810.0,0.0,22191059.160770427,6115446.574374313,3.0,1.0
LTE,216.0,30.0,12007.0,222209.0,0.0,19.077396,47.482091,106754.0,139.0,1.0,1430014752.0,1578726459.0,0.0,568.0,0.0,22172434.5399166,6114154.610074405,3.0,1.0
LTE,216.0,30.0,65534.0,138753.0,0.0,19.209624,47.609393,66921.0,7.0,1.0,1430377517.0,1433328906.0,0.0,867.0,0.0,22187161.55932337,6101860.317831952,3.0,1.0
LTE,216.0,1.0,5311.0,1218049.0,0.0,18.325949,47.125006,52376.0,1408.0,1.0,1430586127.0,1492253096.0,0.0,944.0,0.0,22088741.41476784,6148549.651669828,3.0,1.0
LTE,216.0,30.0,800.0,189699.0,0.0,19.222929,47.593911,166608.0,1011.0,1.0,1430727320.0,1572603779.0,0.0,500.0,0.0,22188643.41636733,6103356.418052054,3.0,1.0
LTE,208.0,1.0,1409.0,10313990.0,0.0,4.691436,44.368537,124272.0,43.0,1.0,1430759997.0,1492425659.0,0.0,540.0,0.0,20570184.54668352,6409742.694987085,1.0,1.0
LTE,216.0,1.0,30494.0,442886.0,0.0,20.855218,47.269753,135596.0,211.0,1.0,1431151816.0,1566216950.0,0.0,633.0,0.0,22370441.15799906,6134623.420967936,3.0,1.0
LTE,216.0,70.0,3153.0,405248.0,0.0,19.024356,47.497256,77935.0,39.0,1.0,1431526217.0,1472600613.0,0.0,532.0,0.0,22166527.1594122,6112690.9344933685,3.0,1.0
LTE,230.0,1.0,41250.0,29133068.0,0.0,14.358965,50.238042,63581.0,9.0,1.0,1431888598.0,1489338751.0,0.0,538.0,0.0,21646914.79442719,5844035.155765459,3.0,1.0
LTE,216.0,30.0,30242.0,297729.0,0.0,19.021108,47.238872,55851.0,543.0,1.0,1432355419.0,1620799245.0,0.0,808.0,0.0,22166165.410319462,6137596.338212102,3.0,1.0
LTE,216.0,1.0,26121.0,414472.0,0.0,17.551444,47.481519,115367.0,4.0,1.0,1433934322.0,1490099726.0,0.0,651.0,0.0,22002480.18291337,6114209.812883351,3.0,1.0
LTE,262.0,2.0,43451.0,8874754.0,0.0,12.094331,51.465573,51640.0,1877.0,1.0,1434388065.0,1499754201.0,0.0,581.0,0.0,21394689.02630498,5720905.683593202,3.0,1.0
LTE,262.0,1.0,4504.0,32875266.0,0.0,10.695004,53.909401,53057.0,1025.0,1.0,1434479836.0,1473788789.0,0.0,545.0,0.0,21238837.649248403,5470143.165495105,3.0,1.0
LTE,262.0,1.0,4510.0,25894402.0,0.0,9.161255,53.08296,79349.0,309.0,1.0,1434479856.0,1473437651.0,0.0,953.0,0.0,21068014.893945925,5555816.2146943,3.0,1.0
LTE,262.0,1.0,4604.0,26439682.0,0.0,10.109754,53.499589,62272.0,93.0,1.0,1434479942.0,1472393809.0,0.0,540.0,0.0,21173654.873226527,5512740.767006772,3.0,1.0
LTE,238.0,6.0,40103.0,100873.0,0.0,12.496779,55.765922,71667.0,611.0,1.0,1434704028.0,1483938284.0,0.0,765.0,0.0,21439512.055513784,5274242.72650891,3.0,1.0
LTE,238.0,6.0,40102.0,75017.0,0.0,12.399597,55.741725,65160.0,104.0,1.0,1434704237.0,1480943669.0,0.0,838.0,0.0,21428688.31772761,5276827.794595179,3.0,1.0
LTE,238.0,6.0,40103.0,98311.0,0.0,12.173895,55.712512,50659.0,4.0,1.0,1434192912.0,1434192912.0,0.0,959.0,0.0,21403550.54256539,5279947.596182797,3.0,1.0
LTE,238.0,6.0,40601.0,96521.0,0.0,12.284442,55.66497,56668.0,408.0,1.0,1434704399.0,1488723483.0,0.0,635.0,0.0,21415862.819952644,5285022.163961128,3.0,1.0
LTE,238.0,6.0,40601.0,163591.0,0.0,12.245416,55.663181,54213.0,221.0,1.0,1434704399.0,1488982539.0,0.0,648.0,0.0,21411516.2620423,5285213.054645407,3.0,1.0
LTE,238.0,6.0,40601.0,155911.0,0.0,12.272469,55.664652,55917.0,131.0,1.0,1434704399.0,1488459342.0,0.0,851.0,0.0,21414529.315677017,5285056.095683253,3.0,1.0
LTE,240.0,7.0,34202.0,80908806.0,0.0,17.009088,58.993582,67251.0,2.0,1.0,1435323415.0,1464249984.0,0.0,622.0,0.0,21942074.766984936,4921334.929557512,3.0,1.0
LTE,262.0,1.0,18000.0,33110529.0,0.0,13.717747,51.314189,54854.0,185.0,1.0,1435323757.0,1517152541.0,0.0,528.0,0.0,21575498.52911289,5736189.17559355,3.0,1.0
